zeme,year,co2,population,gdp,primary_energy_consumption,gdp_pc,en_int,co2_int,population_g,gdp_pc_g,en_int_g,co2_int_g,interactions,co2_g
Czechia,1995,131.624,10312041.0,118281953160.126,486.214,11470.27568646459,4.11063553661293e-09,0.27071207328460306,-0.09969646393857001,6.327410657261323,-1.8817481689938464,-4.80798758697023,-0.32640083880587367,-0.7884224014471974
Czechia,1996,135.019,10296140.0,123212636052.806,502.922,11966.876523901772,4.081740445715808e-09,0.2684690667737741,-0.15419837838115402,4.32945860249192,-0.7029348780682843,-0.8285579891632255,-0.06445051496593024,2.579316841913326
Czechia,1997,130.942,10280049.0,122478487836.036,482.32,11914.193000056322,3.937997672258086e-09,0.2714836622988887,-0.15628186873916095,-0.44024456791397215,-3.521604946943524,1.1228837501993771,-0.024327389377288178,-3.0195750227745677
Czechia,1998,125.717,10265430.0,121996963423.806,468.271,11884.252624956383,3.838382422464652e-09,0.2684706078317897,-0.142207493368951,-0.25130006790889947,-2.529591383336538,-1.109847436705702,0.042630058062454346,-3.9903163232576366
Czechia,1999,116.669,10251385.0,123678521512.351,448.987,12064.56703287907,3.6302746387145523e-09,0.2598493943031758,-0.13681842845355563,1.517254922232425,-5.421757418753293,-3.2112317986092376,0.05543538861703112,-7.197117334966629
Czechia,2000,127.233,10236809.0,128638858401.092,474.504,12566.304441266024,3.6886521374475445e-09,0.2681389408729958,-0.1421856656442011,4.158768458242967,1.608073893650741,3.1901350365082237,0.23988432657843006,9.054676049336162
Czechia,2001,127.165,10231942.0,132391536300.246,485.272,12939.042881619736,3.6654306881028185e-09,0.26204891277469133,-0.047544112623376655,2.966173882670642,-0.629537524262036,-2.2712210611695482,-0.07131643859853432,-0.05344525398285338
Czechia,2002,123.988,10239474.0,134395228572.192,486.757,13125.208245286038,3.6218324502386086e-09,0.2547225823152004,0.07361261430136601,1.4387877478229338,-1.1894437945783598,-2.795787390192339,-0.025498120065825525,-2.4983289427122246
Czechia,2003,127.592,10248907.0,138831395778.178,514.55,13545.97088042442,3.7062942219650195e-09,0.24796812749003985,0.09212387276924527,3.20575968986625,2.3320176426396166,-2.651690621133229,-0.07147767450547127,2.9067329096364114
Czechia,2004,128.314,10261453.0,145406922288.089,527.825,14170.20789239974,3.6299853658565254e-09,0.24309951214891296,0.12241305341145203,4.6082855004318635,-2.0588990387286676,-1.9634036803066413,-0.14252963630027038,0.5658661985077362
Czechia,2005,125.713,10280155.0,154676655549.654,519.632,15046.140408355126,3.3594726893560787e-09,0.2419269790928965,0.18225489119327865,6.181507869233149,-7.452169891506355,-0.4823263714730075,-0.4563251192654221,-2.027058621818356
Czechia,2006,126.533,10304592.0,164921158024.599,529.455,16004.627648003821,3.2103521848969104e-09,0.23898726048483818,0.2377104236268801,6.3703196543111185,-4.438806867864454,-1.2151264067698397,-0.3018174049916773,0.6522793983120279
Czechia,2007,128.364,10337539.0,173973393346.007,523.705,16829.28532081059,3.010259154734249e-09,0.24510745553317229,0.31973124214912385,5.152620173013678,-6.232743905917804,2.5608875702905376,-0.35344174167110065,1.4470533378644346
Czechia,2008,122.928,10378298.0,178518044754.249,513.619,17201.090656121938,2.8771265151769772e-09,0.2393369404169238,0.39428146292845856,2.2092758440049876,-4.4226305016926375,-2.354279719356611,-0.06147928182699225,-4.234832195942795
Czechia,2009,114.972,10420985.0,169952170270.619,492.811,16308.647433099557,2.8997040709470494e-09,0.23329836387580635,0.4113102167619287,-5.18829439867382,0.7847258593243867,-2.5230440944879917,0.04322119880137887,-6.472081218274117
Czechia,2010,117.464,10464035.0,174565802522.079,513.649,16682.455909415345,2.942437708754748e-09,0.2286853473870289,0.41310874164006695,2.2920875434287558,1.4737241029475712,-1.9773034033076842,-0.03413272767220921,2.1674842570365005
Czechia,2011,115.178,10495508.0,177659773382.538,501.976,16927.220043330726,2.8254904891674186e-09,0.2294492166956189,0.3007730765426597,1.4671948497537501,-3.9745011165188693,0.33402634550836474,-0.07362133072689181,-1.9461281754409865
Czechia,2012,111.276,10507339.0,176290606021.546,499.438,16777.85460443848,2.833038079969839e-09,0.22280242993124272,0.11272441505452147,-0.8823979277749028,0.2671249764016892,-2.8968443911463138,0.011593174039870036,-3.387799753425136
Czechia,2013,106.71,10511164.0,176216894659.909,490.221,16764.736489689345,2.7819182771669275e-09,0.2176773332843758,0.03640312737602791,-0.07818708087781179,-1.8044163671621316,-2.3002875904219455,0.043177224145274806,-4.103310686940587
Czechia,2014,104.233,10517223.0,180173337874.854,479.937,17131.265342082603,2.6637515054161777e-09,0.21718058828554582,0.05764347316814522,2.1863084613270356,-4.247672288601134,-0.22820244594830008,-0.08932169436988202,-2.321244494424135
